Country,Education index,Expected years of schooling,Mean years of schooling,HDI rank,Continent
Australia,0.939,20.4,13.2,2,Oceania
Denmark,0.923,19.2,12.7,5,Europe
New Zealand,0.917,19.2,12.5,13,Oceania
Norway,0.916,17.7,12.7,1,Europe
Germany,0.914,17.1,13.2,4,Europe
Ireland,0.91,18.6,12.3,8,Europe
Iceland,0.906,19,12.2,9,Europe
United States,0.9,16.5,13.2,10,North America
Netherlands,0.897,18.1,11.9,7,Europe
United Kingdom,0.896,16.3,13.3,16,Europe
Switzerland,0.891,16,13.4,2,Europe
Canada,0.89,16.3,13.1,10,North America
Slovenia,0.886,17.3,12.1,25,Europe
Lithuania,0.882,16.5,12.7,37,Europe
Czech Republic,0.878,16.8,12.3,28,Europe
Estonia,0.877,16.5,12.5,30,Europe
Israel,0.87,16,12.8,19,Asia
South Korea,0.867,16.6,12.2,18,Asia
Sweden,0.855,16.1,12.3,14,Europe
Poland,0.852,16.4,11.9,36,Europe
Finland,0.847,17,11.2,23,Europe
Japan,0.842,15.3,12.5,17,Asia
Belgium,0.841,16.6,11.4,22,Europe
France,0.839,16.3,11.6,21,Europe
Latvia,0.835,16,11.7,44,Europe
Belarus,0.834,15.7,12,52,Europe
Hungary,0.834,15.6,12,43,Europe
Greece,0.83,17.2,10.5,29,Europe
Slovakia,0.823,15,12.2,40,Europe
Hong Kong,0.822,15.7,11.6,12,Asia
Austria,0.82,15.9,11.3,24,Europe
Liechtenstein,0.818,14.6,12.4,15,Europe
Spain,0.818,17.7,9.8,27,Europe
Russia,0.816,15,12,49,Europe
Italy,0.814,16.3,10.9,26,Europe
Singapore,0.814,15.4,11.6,5,Asia
Argentina,0.808,17.3,9.8,45,South America
Palau,0.808,14.3,12.3,60,Oceania
Kazakhstan,0.805,15,11.7,56,Asia
Ukraine,0.803,15.3,11.3,84,Europe
Croatia,0.798,15.3,11.2,45,Europe
Montenegro,0.797,15.1,11.3,48,Europe
Georgia,0.794,13.9,12.2,70,Asia
Cyprus,0.786,14.3,11.7,33,Asia
Chile,0.784,16.3,9.9,38,South America
Luxembourg,0.783,13.9,12,20,Europe
Malta,0.781,14.6,11.3,33,Europe
Cuba,0.779,13.9,11.8,68,North America
Bulgaria,0.778,15,10.8,56,Europe
Fiji,0.777,15.3,10.5,91,Oceania
Barbados,0.773,15.3,10.5,54,North America
Romania,0.769,14.7,10.8,50,Europe
Saudi Arabia,0.768,16.1,9.6,38,Asia
Tonga,0.766,14.3,11.1,101,Oceania
Serbia,0.76,14.4,10.8,66,Europe
Portugal,0.756,16.6,8.9,41,Europe
Sri Lanka,0.752,14,10.9,73,Asia
Uzbekistan,0.74,12.2,12,105,Asia
Mongolia,0.737,14.8,9.8,92,Asia
Armenia,0.73,12.7,11.3,84,Asia
Grenada,0.725,15.8,8.6,79,North America
Mauritius,0.725,15.2,9.1,64,Africa
Moldova,0.725,11.8,11.9,107,Europe
Azerbaijan,0.723,12.7,11.2,78,Asia
Kyrgyzstan,0.721,13,10.8,120,Asia
Andorra,0.718,13.5,10.3,32,Europe
Bahrain,0.717,14.5,9.4,47,Asia
Trinidad and Tobago,0.717,12.7,10.9,65,North America
Uruguay,0.717,15.5,8.6,54,South America
Brunei,0.716,14.9,9,30,Asia
Albania,0.715,14.2,9.6,75,Europe
Bahamas,0.715,12.7,10.9,58,North America
Venezuela,0.71,14.3,9.4,71,South America
Seychelles,0.706,14.1,9.4,63,Africa
South Africa,0.705,13,10.3,119,Africa
Belize,0.704,12.8,10.5,103,North America
Iran,0.704,14.8,8.8,69,Asia
Samoa,0.702,12.9,10.3,104,Oceania
Jordan,0.701,13.1,10.1,86,Asia
Malaysia,0.7,13.1,10.1,59,Asia
Qatar,0.698,13.4,9.8,33,Asia
Antigua and Barbuda,0.694,13.9,9.2,62,North America
Bosnia and Herzegovina,0.694,14.2,9,81,Europe
Panama,0.691,13,9.9,60,North America
United Arab Emirates,0.687,13.3,9.5,42,Asia
Costa Rica,0.684,14.2,8.7,66,North America
Brazil,0.681,15.2,7.8,79,South America
Jamaica,0.678,12.8,9.6,94,North America
Saint Lucia,0.677,13.1,9.3,92,North America
North Macedonia,0.673,12.9,9.4,82,Europe
Peru,0.672,13.4,9,87,South America
